"Date","Area","OSgrid","longitude","latitude","Alt","Aspect","Incline","Location","Obs","FAH","OAH","Air.Temp","Wind.Dir","Wind.Speed","Cloud","Precip.Code","Drift","Total.Snow.Depth","Foot.Pen","Ski.Pen","Rain.at.900","Summit.Air.Temp","Summit.Wind.Dir","Summit.Wind.Speed","Max.Temp.Grad","Max.Hardness.Grad","No.Settle","Snow.Index","Insolation","Crystals","Wetness","AV.Cat","Snow.Temp"
2009-12-17 12:30:00,"Creag Meagaidh","NN460901",-4.53534960049035,56.9763680942401,"800",160,28,"Cairn Liath","WS","Moderate","Moderate","-3.2",45,10,90,"2 - Trace","1",45,0,NA,0,NA,NA,NA,20,4,NA,NA,NA,NA,NA,NA,NA
2009-12-18 13:15:00,"Creag Meagaidh","NN442895",-4.56456071362731,56.9703802563907,"890",100,32,"Lifa Gully, Coire Chriochairein","TR","Considerable -","Considerable +","-2.5",340,30,100,"4 - Light Showers","1",40,10,NA,0,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA
2009-12-19 13:15:00,"Creag Meagaidh","NN448897",-4.5548247368898,56.9723769520253,"",NA,NA,"Wall gully,Coire Chreiochairein","TR","Considerable +","High","-5",NA,35,100,"8 - Snow","1",65,33,NA,0,NA,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA
2009-12-20 12:50:00,"Creag Meagaidh","NN463900",-4.530358349529,56.9755705133584,"890",130,39,"Balloon Gully","TR","Considerable +","Considerable +","-2",270,25,60,"6 - Snow Showers","1",75,50,NA,0,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA
2009-12-21 13:05:00,"Creag Meagaidh","NN452899",-4.5483743812615,56.9743059571768,"900",100,33,"Min Window","TR & OR","Considerable -","Considerable -","-2.6",NA,5,90,"0 - None","1",80,70,25,0,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA
2009-12-22 12:40:00,"Creag Meagaidh","NN460883",-4.53425181064926,56.9602140478845,"730",155,31,"Sron a Ghoire","TR & JR","Considerable -","Considerable -","-7.8",NA,0,0,"0 - None","0",64,42,30,0,NA,NA,NA,43,2,NA,NA,NA,NA,NA,NA,NA
2009-12-23 13:05:00,"Creag Meagaidh","NN459882",-4.53583355014866,56.959283288308,"700",150,35,"Bumslide Gully, Sron aGhoire","TR & JR","Considerable -","Considerable +","-0.5",NA,3,100,"2 - Trace","1",60,50,20,0,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
2009-12-24 13:15:00,"Creag Meagaidh","NN461877",-4.53224363583527,56.9548626370876,"800",130,25,"Sron a Ghoire","WS + AS","High","Considerable -","-3",NA,NA,10,"","0",52,50,NA,0,NA,NA,NA,18,3,NA,NA,NA,NA,NA,NA,NA
2009-12-25 14:00:00,"Creag Meagaidh","NN446892",-4.55780347225496,56.9678226038214,"600",190,20,"Coire a Chriochairein","WS /FS","Considerable -","Considerable -","-1",45,5,2,"4 - Light Showers","1",41,40,NA,0,NA,NA,NA,34,3,NA,NA,NA,NA,NA,NA,NA
2009-12-26 13:45:00,"Creag Meagaidh","NN460883",-4.53425181064926,56.9602140478845,"600",120,28,"Sron A Ghoire","WS /AS","Considerable -","Moderate","-2",45,2,20,"0 - None","0",42,30,NA,0,NA,NA,NA,17,3,NA,NA,NA,NA,NA,NA,NA
